Symbol,Number,Mass,Abundance
Ru,44,100.905577,0.170600
Ru,44,101.904344,0.315500
Ru,44,103.905428,0.186200
Rh,45,102.905498,1.000000
Pd,46,101.905602,0.010200
Pd,46,103.904031,0.111400
Pd,46,104.905080,0.223300
Pd,46,105.903480,0.273300
Pd,46,107.903892,0.264600
Pd,46,109.905172,0.117200
Ag,47,106.905092,0.518390
Ag,47,108.904755,0.481610
Cd,48,105.906460,0.012500
Cd,48,107.904183,0.008900
Cd,48,109.903007,0.124900
Cd,48,110.904183,0.128000
Cd,48,111.902763,0.241300
Cd,48,112.904408,0.122200
Cd,48,113.903365,0.287300
Cd,48,115.904763,0.074900
In,49,112.904062,0.042900
In,49,114.903879,0.957100
Sn,50,111.904824,0.009700
Sn,50,113.902783,0.006600
Sn,50,114.903345,0.003400
Sn,50,115.901743,0.145400
Sn,50,116.902954,0.076800
Sn,50,117.901607,0.242200
Sn,50,118.903311,0.085900
Sn,50,119.902202,0.325800
Sn,50,121.903444,0.046300
Sn,50,123.905277,0.057900
Sb,51,120.903812,0.572100
Sb,51,122.904213,0.427900
Te,52,119.904059,0.000900
Te,52,121.903043,0.025500
Te,52,122.904270,0.008900
Te,52,123.902817,0.047400
Te,52,124.904430,0.070700
Te,52,125.903311,0.188400
Te,52,127.904461,0.317400
Te,52,129.906223,0.340800
I,53,126.904472,1.000000
Xe,54,123.905892,0.000952
Xe,54,125.904298,0.000890
Xe,54,127.903531,0.019102
Xe,54,128.904781,0.264006
Xe,54,129.903509,0.040710
Xe,54,130.905084,0.212324
Xe,54,131.904155,0.269086
Xe,54,133.905395,0.104357
Xe,54,135.907214,0.088573
Cs,55,132.905452,1.000000
Ba,56,129.906321,0.001060
Ba,56,131.905061,0.001010
Ba,56,133.904508,0.024170
Ba,56,134.905688,0.065920
Ba,56,135.904576,0.078540
Ba,56,136.905827,0.112320
Ba,56,137.905247,0.716980
La,57,137.907115,0.000888
La,57,138.906356,0.999112
Ce,58,135.907129,0.001850
Ce,58,137.905991,0.002510
Ce,58,139.905443,0.884500
Ce,58,141.909250,0.111140
Pr,59,140.907658,1.000000
Nd,60,141.907729,0.271520
Nd,60,142.909820,0.121740
Nd,60,143.910093,0.237980
Nd,60,144.912579,0.082930
Nd,60,145.913123,0.171890
Nd,60,147.916899,0.057560
Nd,60,149.920902,0.056380
Pm,61,144.912756,0.000000
Pm,61,146.915145,0.000000
Sm,62,143.912006,0.030700
Sm,62,146.914904,0.149900
Sm,62,147.914829,0.112400
Sm,62,148.917192,0.138200
Sm,62,149.917283,0.073800
Sm,62,151.919740,0.267500
Sm,62,153.922217,0.227500
Eu,63,150.919858,0.478100
Eu,63,152.921238,0.521900
Gd,64,151.919800,0.002000
Gd,64,153.920874,0.021800
Gd,64,154.922630,0.148000
Gd,64,155.922131,0.204700
Gd,64,156.923969,0.156500
Gd,64,157.924112,0.248400
Gd,64,159.927062,0.218600
Tb,65,158.925355,1.000000
Dy,66,155.924285,0.000560
Dy,66,157.924416,0.000950
Dy,66,159.925205,0.023290
Dy,66,160.926941,0.188890
Dy,66,161.926806,0.254750
Dy,66,162.928738,0.248960
Dy,66,163.929182,0.282600
Ho,67,164.930329,1.000000
Er,68,161.928788,0.001390
Er,68,163.929209,0.016010
Er,68,165.930299,0.335030
Er,68,166.932055,0.228690
Er,68,167.932377,0.269780
Er,68,169.935470,0.149100
Tm,69,168.934218,1.000000
Yb,70,167.933890,0.001230
Yb,70,169.934766,0.029820
Yb,70,170.936330,0.140900
Yb,70,171.936386,0.216800
Yb,70,172.938215,0.161030
Yb,70,173.938866,0.320260
Yb,70,175.942576,0.129960
Lu,71,174.940775,0.974010
Lu,71,175.942690,0.025990
Hf,72,173.940046,0.001600
Hf,72,175.941408,0.052600
Hf,72,176.943228,0.186000
Hf,72,177.943706,0.272800
Hf,72,178.945823,0.136200
Hf,72,179.946557,0.350800
Ta,73,179.947465,0.000120
Ta,73,180.947996,0.999880
W,74,179.946711,0.001200
W,74,181.948204,0.265000
W,74,182.950223,0.143100
W,74,183.950931,0.306400
W,74,185.954363,0.284300
Re,75,184.952955,0.374000
Re,75,186.955750,0.626000
Os,76,183.952488,0.000200
Os,76,185.953835,0.015900
Os,76,186.955747,0.019600
Os,76,187.955835,0.132400
Os,76,188.958144,0.161500
Os,76,189.958444,0.262600
Os,76,191.961477,0.407800
Ir,77,190.960589,0.373000
Ir,77,192.962922,0.627000
Pt,78,189.959930,0.000120
Pt,78,191.961039,0.007820
Pt,78,193.962681,0.328600
Pt,78,194.964792,0.337800
Pt,78,195.964952,0.252100
Pt,78,197.967895,0.073560
Au,79,196.966569,1.000000
Hg,80,195.965833,0.001500
Hg,80,197.966769,0.099700
Hg,80,198.968281,0.168700
Hg,80,199.968327,0.231000
Hg,80,200.970303,0.131800
Hg,80,201.970643,0.298600
Hg,80,203.973494,0.068700
Tl,81,202.972345,0.295200
Tl,81,204.974428,0.704800
Pb,82,203.973044,0.014000
Pb,82,205.974466,0.241000
Pb,82,206.975897,0.221000
Pb,82,207.976653,0.524000
Bi,83,208.980399,1.000000
Po,84,208.982431,0.000000
Po,84,209.982874,0.000000
At,85,209.987148,0.000000
At,85,210.987497,0.000000
Rn,86,210.990601,0.000000
Rn,86,220.011394,0.000000
Rn,86,222.017578,0.000000
Fr,87,223.019736,0.000000
Ra,88,223.018502,0.000000
Ra,88,224.020212,0.000000
Ra,88,226.025410,0.000000
Ra,88,228.031071,0.000000
Ac,89,227.027752,0.000000
Th,90,230.033134,0.000000
Th,90,232.038056,1.000000
Pa,91,231.035884,1.000000
U,92,233.039636,0.000000
U,92,234.040952,0.000054
U,92,235.043930,0.007204
U,92,236.045568,0.000000
U,92,238.050788,0.992742
Np,93,236.046570,0.000000
Np,93,237.048174,0.000000
Pu,94,238.049560,0.000000
Pu,94,239.052164,0.000000
Pu,94,240.053814,0.000000
Pu,94,241.056852,0.000000
Pu,94,242.058743,0.000000
Pu,94,244.064205,0.000000
Am,95,241.056829,0.000000
Am,95,243.061381,0.000000
Cm,96,243.061389,0.000000
Cm,96,244.062753,0.000000
Cm,96,245.065492,0.000000
Cm,96,246.067224,0.000000
Cm,96,247.070354,0.000000
Cm,96,248.072350,0.000000
Bk,97,247.070307,0.000000
Bk,97,249.074988,0.000000
Cf,98,249.074854,0.000000
Cf,98,250.076406,0.000000
Cf,98,251.079589,0.000000
Cf,98,252.081627,0.000000
Es,99,252.082980,0.000000
Fm,100,257.095106,0.000000
Md,101,258.098432,0.000000
Md,101,260.103650,0.000000
No,102,259.101030,0.000000
Lr,103,262.109610,0.000000
Rf,104,267.121790,0.000000
Db,105,268.125670,0.000000
Sg,106,271.133930,0.000000
Bh,107,272.138260,0.000000
Hs,108,270.134290,0.000000
Mt,109,276.151590,0.000000
Ds,110,281.164510,0.000000
Rg,111,280.165140,0.000000
Cn,112,285.177120,0.000000
Nh,113,284.178730,0.000000
Fl,114,289.190420,0.000000
Mc,115,288.192740,0.000000
Lv,116,293.204490,0.000000
Ts,117,292.207460,0.000000
Og,118,294.213920,0.000000
